group_id,pair_file,n_points,rmse_px,max_error_px,n_le_3px
0,pair_00,9,2.1368,3.4236,7
1,pair_01,9,2.2639,5.5931,8
2,pair_03,6,2.2373,4.6672,5
3,pair_04,9,2.1765,2.9103,9
4,pair_05,8,2.8944,4.9946,6
5,pair_06,9,2.9909,4.5119,5
